city,action,venue,primary_type,reviews,website,reason
"berkeley",hide,"Mint Leaf",vietnamese_restaurant,319,"http://www.mintleafvr.com/","zero-HH cuisine (vietnamese_restaurant)"
"berkeley",hide,"Inn Kensington Restaurant",american_restaurant,303,"http://www.innkensington.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Mercado 925",mexican_restaurant,298,"http://www.mercado925.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Pyeong Chang Tofu Berkeley 버클리 평창 순두부",korean_restaurant,298,"https://www.pctofu.com/","zero-HH cuisine (korean_restaurant)"
"berkeley",hide,"Korean Superette",korean_restaurant,260,"http://korean-superette.com/","zero-HH cuisine (korean_restaurant)"
"berkeley",hide,"Noodles Fresh | Berkeley CA Chinese Cuisine",chinese_noodle_restaurant,231,"http://noodlesfresh.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Dumpling Time",dumpling_restaurant,227,"https://www.dumplingtime.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Califa's Greens",latin_american_restaurant,216,"http://califasgreens.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Sakana Sushi & Roll",sushi_restaurant,216,"http://ordersakana.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Lao Thai Kitchen",restaurant,194,"https://laothaikitchen.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Duo Grill House",restaurant,141,"http://www.duogrillhouse.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Mexicana",mexican_restaurant,106,"http://mexicanataqueria.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Tarocco",restaurant,104,"https://mytarocco.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Kathmandu Restaurant",restaurant,90,"https://kathmandurestaurantca.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Renee's Place",chinese_restaurant,81,"http://www.reneesplacerestaurant.com/","zero-HH cuisine (chinese_restaurant)"
"berkeley",hide,"Itani Sushi - Berkeley",japanese_restaurant,62,"https://itanisushi.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Nagoya Sushi",japanese_restaurant,25,"https://www.nagoyasushiberkeley.com/?utm_source=google&utm_medium=search","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Original Joe’s Westlake",italian_restaurant,4543,"https://originaljoes.com/westlake/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Boulevard Cafe",american_restaurant,2867,"http://theboulevardcafe.com/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Nation's Giant Hamburgers & Great Pies",hamburger_restaurant,2577,"http://nationsrestaurants.com/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Celia's",mexican_restaurant,1165,"http://www.celiasrestaurants.com/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Tomo Sushi & Teriyaki",japanese_restaurant,525,"https://tomosushiteriyaki.shop/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"El Zocalo Restaurant",restaurant,451,"https://www.facebook.com/pages/El-Zocalo-Restaurant/109674275734558","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"POGU",korean_restaurant,411,"https://www.instagram.com/jagalchi_official/","zero-HH cuisine (korean_restaurant)"
"daly-city",hide,"Spiral",japanese_restaurant,406,"http://spiraljapanesecuisine.com/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Ming Yuan Restaurant",chinese_restaurant,323,"http://mingyuan.us/","zero-HH cuisine (chinese_restaurant)"
"daly-city",hide,"Majikku Ramen",japanese_restaurant,206,"https://majikkuramen.net/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Extreme Pizza",pizza_restaurant,186,"http://extremepizzaorder.com/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Tom San Ramen",japanese_restaurant,123,"http://www.tomsanramendalycity.com/?utm_source=gmb&utm_medium=website","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Yokohama Iekei Ramen Daly City",ramen_restaurant,97,"https://yokohamaiekei.net/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Marufuku Ramen Serramonte",ramen_restaurant,90,"https://www.marufukuramen.com/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"Iguana Azul",mexican_restaurant,61,"http://www.blueiguana415.com/","restaurant w/ working site (alcohol-only policy)"
"daly-city",hide,"UNI Pizzeria & Grill",pizza_restaurant,59,"https://unipizzeria.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Splash Café",seafood_restaurant,7489,"https://www.splashcafe.com/?y_source=1_MTQ2OTg4NTUtNzE1LWxvY2F0aW9uLndlYnNpdGU=","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Cracked Crab",seafood_restaurant,2750,"http://www.crackedcrab.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Cool Cat Cafe",hamburger_restaurant,2740,"http://www.coolcatcafe.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Fin's Bar & Grill",seafood_restaurant,2093,"https://www.finsbarandgrill.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Huckleberry's",american_restaurant,2023,"http://www.huckleberrys.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Brad's Restaurant",seafood_restaurant,1947,"http://bradsofpismo.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Ada’s Fish House",seafood_restaurant,1770,"https://www.adasfishhouse.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Giuseppe's Cucina Italiana",italian_restaurant,1755,"http://www.giuseppesrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Hoagies Sandwiches & Grill, Pismo Beach",barbecue_restaurant,1722,"https://hoagiesca.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"CJ's Cafe",american_restaurant,1587,"http://www.cjscafearroyogrande.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Oyster Loft",seafood_restaurant,1152,"https://oysterloft.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Mo's SmokeHouse BBQ",barbecue_restaurant,1139,"http://www.mosbbq.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Klondike Pizza",pizza_restaurant,1033,"https://klondikepizza.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Pizmo Cafe | Ristorante & Pizzeria",restaurant,999,"http://www.pizmocafe.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Vista Steak and Seafood",steak_house,974,"https://www.vistapismobeach.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Giuseppe’s Express",italian_restaurant,902,"http://www.giuseppesrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Yanagi Sushi & Grill",japanese_restaurant,892,"https://www.yanagisushingrill.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Papi's Grill",mexican_restaurant,835,"https://www.facebook.com/papisgrillpismo/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Del's Pizzeria",pizza_restaurant,818,"http://delspizzeria.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Sushi 805",sushi_restaurant,767,"https://www.805sakesushi.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Old Village Grill",american_restaurant,765,"http://oldvillagegrill.biz/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Francisco's Country Kitchen",family_restaurant,702,"https://www.franciscoscountrykitchen.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Gino's Pizza",pizza_restaurant,660,"https://ginospizzaslo.com/ginospizzapismo?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Kanpai Sushi",japanese_restaurant,551,"http://kanpaibythesea.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Gina's Italian Cuisine",italian_restaurant,542,"https://www.ginasitaliancuisine.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Coronas Mexican Restaurant",mexican_restaurant,533,"https://www.facebook.com/CoronasMexFood/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Mei's | Chinese Restaurant",chinese_restaurant,468,"http://www.meischineserestaurants.com/","zero-HH cuisine (chinese_restaurant)"
"five-cities",hide,"La Tapatía Market & Deli",mexican_restaurant,462,"https://www.facebook.com/LaTapatiaMarket2","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Palo Mesa",pizza_restaurant,406,"https://www.palomesapizza.com/ag-village","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"SUSHI KOKKU & Ramen",sushi_restaurant,399,"http://www.sushikokkuslo.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Izakaya Raku",japanese_izakaya_restaurant,325,"https://www.izakayarakugrover.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Jalapenos Mexican Restaurant",mexican_restaurant,300,"https://www.wegodelivers.com/restaurant/jalapenosgroverbeach","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Bee House Thai Cuisine",restaurant,286,"https://www.toasttab.com/the-bee-house-245-west-grand-av","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Me-n-Ed's Pizzeria and Crafthouse",pizza_restaurant,286,"https://menedscentralcoast.com/pismo-beach/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"The Green Olive | Pismo Beach",mediterranean_restaurant,280,"https://www.orderthegreenolivepismobeach.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Perfetto Caffe",bistro,262,"http://www.8575perfettocaffe.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Villa Del Mar",seafood_restaurant,262,"https://www.villadelmarmexican.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Palo Mesa Pizza II",pizza_restaurant,205,"https://www.palomesapizza.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"LA COSTA GRILL",mexican_restaurant,203,"https://lacostagrillca.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Sidewalk Café",restaurant,181,"http://sidewalkcafeag.smartonlineorder.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Luca's Deli & Wine",restaurant,109,"https://www.lucasdeliandwine.com/","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Mariscos El Picosito PB",mexican_restaurant,98,"https://www.mariscoselpicosito805.com/pismo-beach","restaurant w/ working site (alcohol-only policy)"
"five-cities",hide,"Pismo Coast Village Grill",restaurant,57,"https://www.rockandrolldiner.com/pcvg-menu.html","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"MENSHO",ramen_restaurant,2812,"https://www.menshopiedmont.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Guadalajara",mexican_restaurant,2556,"http://www.guadalajaraoakland.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Cholita Linda",latin_american_restaurant,2059,"https://www.cholitalinda.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Kansai",sushi_restaurant,1898,"http://orderkansai.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Hong Kong East Ocean Seafood Restaurant",chinese_restaurant,1688,"https://www.hkeo.com/","zero-HH cuisine (chinese_restaurant)"
"oakland",hide,"Dimond Slice Pizza",pizza_restaurant,832,"http://dimondpizza.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Smellys Creole Catering LLC.",restaurant,718,"https://www.order.store/store/chef-smellys/Qmf4xMiSXCeH2577-QRJLw","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Square Pie Guys",pizza_restaurant,691,"https://squarepieguys.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Seabreeze On The Dock",seafood_restaurant,675,"http://www.seabreezeonthedock.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"The Italian Homemade Company",italian_restaurant,675,"http://www.italianhomemadecompany.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"alaMar Dominican Kitchen",restaurant,595,"http://alamaroakland.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Huangcheng Noodle House 山西刀削面",chinese_noodle_restaurant,548,"http://www.huangchengnoodleca.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Pacific Lighthouse",restaurant,543,"http://www.pacificlighthouse88.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"LIMEWOOD BAR & RESTAURANT",restaurant,542,"https://claremontresortandclub.com/dine/limewood/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Top Hatters Kitchen and Bar",restaurant,538,"http://www.tophatterskitchen.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"La casa de Maria",mexican_restaurant,500,"http://lacasamaria.net/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"The Landing Café",american_restaurant,483,"https://www.oaklandzoo.org/dining","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"June's Pizza",pizza_restaurant,478,"https://www.instagram.com/junes_pizza/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Manpuku",japanese_restaurant,473,"https://manpukuorder.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"World Champion Smokehouse & Market",barbecue_restaurant,473,"http://worldchampionsmokehouse.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Oriental Tea House 碧贵园/碧桂园",chinese_restaurant,457,"http://orientalteahouse.us/","zero-HH cuisine (chinese_restaurant)"
"oakland",hide,"Asmara Restaurant",restaurant,452,"http://asmararestaurantoakland.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"JAVI’S COOKING ""Empanadas Argentinas""",argentinian_restaurant,394,"https://javiscooking.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Phnom Penh",cambodian_restaurant,374,"http://www.phnompenhhouse.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Graffiti Pizza",pizza_restaurant,355,"https://graffitipizza.square.site/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Lo Coco's",italian_restaurant,349,"http://www.lococospiedmont.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Persian Nights",persian_restaurant,347,"http://www.persiannights.co/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Los Olivos Restaurant",restaurant,342,"http://losolivos-restaurant.com/menu","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Lemat Ethiopian Restaurant",ethiopian_restaurant,335,"http://www.lemateats.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Lovely’s",restaurant,317,"https://www.lovelysburgers.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Obelisco Restaurant",mexican_restaurant,310,"http://obeliscorestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Blackberry Bistro",bistro,304,"https://www.blackberrybistrocafe.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Creekwood Restaurant",italian_restaurant,295,"https://www.creekwoodrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Lin Jia Asian Kitchen",asian_restaurant,289,"https://www.linjiakitchen.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Pho Anh Dao",vietnamese_restaurant,283,"https://phoanhdaooakland.com/","zero-HH cuisine (vietnamese_restaurant)"
"oakland",hide,"T'chaka a Taste of Haiti",caribbean_restaurant,274,"http://www.tchakaoak.online/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Pizza Ponte",pizza_restaurant,269,"http://ponte.pizza/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Leaning Tower",pizza_restaurant,268,"http://www.leaningtowertogo.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Ly-Luck",chinese_restaurant,257,"https://www.lyluckrestaurantonline.com/","zero-HH cuisine (chinese_restaurant)"
"oakland",hide,"King Yen",chinese_restaurant,254,"https://www.kingyenrestaurant.com/","zero-HH cuisine (chinese_restaurant)"
"oakland",hide,"Joodooboo",korean_restaurant,233,"http://www.joodooboo.co/","zero-HH cuisine (korean_restaurant)"
"oakland",hide,"Mitama",japanese_restaurant,217,"http://www.mitamasushi.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Pizzeria Violetta, Piedmont Ave",pizza_restaurant,204,"http://www.pizzeria-violetta.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Willows & Pine",restaurant,202,"https://www.willowsandpine-restaurant.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Hanami",japanese_restaurant,189,"http://www.hanami377.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Fire Wings Oakland",chicken_wings_restaurant,178,"http://firewings.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Los Cilantros",mexican_restaurant,174,"https://lapena.org/los-cilantros-restaurant/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Red Boy Pizza Redwood Road",pizza_restaurant,174,"http://www.redboypizza.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Hashi Gawa",japanese_restaurant,173,"http://5102275187.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Kakui Sushi",sushi_restaurant,170,"https://gokakuisushi.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Kotobuki Japanese Restaurant",japanese_restaurant,164,"https://www.clover.com/online-ordering/kotobuki-new-oakland","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Messob Ethiopian Restaurant",ethiopian_restaurant,158,"http://ordermessobethiopianrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Red Boy Pizza on Leimert",pizza_restaurant,148,"http://www.redboypizza.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"State Flour Pizza Company",pizza_restaurant,147,"https://stateflourpizza.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Slice Pizza & Krunchy Chicken",pizza_restaurant,146,"https://spandkc.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Bistro 4293",mediterranean_restaurant,136,"https://bistro4293.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Bacogai",hot_pot_restaurant,129,"http://bacogai.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Terrace Café - Oakland Hills",restaurant,121,"http://www.terracegiftsandcoffee.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Golondrinas Mexican Grill",mexican_restaurant,111,"https://golondrinasgrill.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Cafe Jolie Petit",restaurant,109,"http://www.cafejolies.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Calabash",restaurant,105,"https://calabasheats.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Oh G Burger",restaurant,67,"http://ohgburger.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Sliver Pizzeria",pizza_restaurant,66,"http://sliverpizzeria.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Pizzeria Violetta, Prescott Market Hall",pizza_restaurant,55,"http://www.pizzeria-violetta.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Sun Moon Studio",restaurant,53,"http://sunmoonstudio.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Tea Shop",restaurant,46,"https://nudining.com/dining/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Woo Can Cook",restaurant,46,"https://woocancook.com/eats","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"Ashby Eatery",restaurant,43,"http://www.ashbyeatery.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"ForTheCulture Oak",restaurant,40,"http://forthecultureoak.com/","restaurant w/ working site (alcohol-only policy)"
"oakland",hide,"East Bay Provisions",restaurant,39,"https://www.claremontresortandclub.com/dine/east-bay-provisions/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Pappadeaux Seafood Kitchen",seafood_restaurant,12212,"https://pappadeaux.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"The Sicilian Butcher",italian_restaurant,6180,"https://locations.thesicilianbutcher.com/az/phoenix/phoenix/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Pizzeria Bianco",pizza_restaurant,4836,"http://www.pizzeriabianco.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Taco Boy's",mexican_restaurant,4060,"https://taco-boys.shop/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Chelsea’s Kitchen",american_restaurant,3784,"https://chelseaskitchenaz.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Luci's at the Orchard",restaurant,3671,"http://www.lucisgoodness.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Carolina's Mexican Food - Cactus",mexican_restaurant,3614,"http://www.carolinasmexicanfood.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Tacos Chiwas",mexican_restaurant,3325,"http://tacoschiwas.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Green New American Vegetarian",vegan_restaurant,2877,"http://greenvegetarian.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"China Chili",chinese_restaurant,2838,"http://www.chinachilirestaurant.com/","zero-HH cuisine (chinese_restaurant)"
"phoenix-central",hide,"Knock Kneed Lobster",seafood_restaurant,2830,"http://knockkneedlobster.menutoeat.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Hillstone Restaurant",american_restaurant,2729,"https://hillstone.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Gadzooks Enchiladas and Soup",mexican_restaurant,2670,"http://gadzooksaz.com/","restaurant w/ working site (alcohol-only policy)"
"phoenix-central",hide,"Los Reyes De La Torta",mexican_restaurant,2638,"https://losreyesaz.com/locations/north-phoenix","restaurant w/ working site (alcohol-only policy)"
