name,primary_type,address,website_url,rating,user_rating_count,price_level,business_status,processed
"Original Joe’s Westlake","italian_restaurant","11 Glenwood Ave, Daly City, CA 94015, USA","https://originaljoes.com/westlake/",4.5,4525,3,"OPERATIONAL",linked
"Chevys","mexican_restaurant","141 Hickey Blvd, South San Francisco, CA 94080, USA","https://www.chevys.com/",4.5,3943,2,"OPERATIONAL",
"Dave & Buster's Daly City","restaurant","130 Serramonte Center, Daly City, CA 94015, USA","https://www.daveandbusters.com/us/en/about/locations/daly-city",4.1,3039,2,"OPERATIONAL",linked
"Boulevard Cafe","american_restaurant","2 Poncetta Dr, Daly City, CA 94015, USA","http://theboulevardcafe.com/",4.3,2859,2,"OPERATIONAL",linked
"Koi Palace","chinese_restaurant","365 Gellert Blvd, Daly City, CA 94015, USA","https://koipalace.com/menu",4.1,2636,2,"OPERATIONAL",linked
"Outback Steakhouse","steak_house","371 Gellert Blvd, Daly City, CA 94015, USA","https://locations.outback.com/california/daly-city/371-gellert-blvd.?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDI2MDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",4.1,1983,2,"OPERATIONAL",linked
"7 Mile House Sports Bar & Grill","bar_and_grill","2800 Bayshore Blvd, Brisbane, CA 94005, USA","http://www.7milehouse.com/",4.5,1944,2,"OPERATIONAL",linked
"California Fish Grill","seafood_restaurant","153C Serramonte Center, Daly City, CA 94015, USA","https://www.cafishgrill.com/",4.3,1595,2,"OPERATIONAL",linked
"Celia's","mexican_restaurant","379 Gellert Blvd, Daly City, CA 94015, USA","http://www.celiasrestaurants.com/",4.1,1160,2,"OPERATIONAL",linked
"Fil-Am Cuisine","filipino_restaurant","66 School St, Daly City, CA 94014, USA","http://www.filamcuisine.com/#!location/c14xr",4.5,1079,1,"OPERATIONAL",
"Momiji","ramen_restaurant","4931 Junipero Serra Blvd, Colma, CA 94014, USA",,4.6,1035,2,"OPERATIONAL",
"City Kebabs & Gyros","mediterranean_restaurant","2408 Junipero Serra Blvd A, Daly City, CA 94015, USA","https://citykebabsandgyros.com/",4.6,1028,2,"OPERATIONAL",
"Dim Sum King","chinese_restaurant","99 Skyline Plaza, Daly City, CA 94015, USA","https://www.dimsumking99.com/",3.9,990,2,"OPERATIONAL",linked
"Pho Huynh Hiep 3 - Kevin's Noodle House","vietnamese_restaurant","85 Southgate Ave, Daly City, CA 94015, USA","http://kevinnoodlehouse.com/",4.1,880,1,"OPERATIONAL",
"Banana Island","restaurant","273 Lake Merced Blvd, Daly City, CA 94015, USA","https://www.bananaislandrestaurant.us/",4.2,825,2,"OPERATIONAL",linked
"Ono Hawaiian BBQ","hawaiian_restaurant","970 Serramonte Blvd b, Colma, CA 94014, USA","http://www.onohawaiianbbq.com/",4.3,776,1,"OPERATIONAL",
"Yoshi Ramen & Sushi","sushi_restaurant","127-H Serramonte Center, Daly City, CA 94015, USA","http://www.yoshi-ramen.com/",4.1,711,2,"OPERATIONAL",
"Chibog","filipino_restaurant","2055 Gellert Blvd #5, Daly City, CA 94015, USA","http://www.chibogrestaurant.com/",4.4,629,2,"OPERATIONAL",
"Shaking Crab","seafood_restaurant","25 Southgate Ave, Daly City, CA 94015, USA",,4.2,597,2,"OPERATIONAL",
"Ling Nam Restaurant and Bakeshop","filipino_restaurant","980 King Dr Suite #1 & #3, Daly City, CA 94015, USA","http://lingnam.us/",4.2,564,1,"OPERATIONAL",
"Molloy's Tavern","bar","1655 Mission Rd # 6, South San Francisco, CA 94080, USA","http://facebook.com/molloyscolma",4.6,562,1,"OPERATIONAL",
"Izumi Revolving Sushi","sushi_restaurant","94 Serramonte Center, Daly City, CA 94015, USA","http://www.izumikaitensushi.com/",4.3,542,2,"OPERATIONAL",
"Seapot Daly City","hot_pot_restaurant","383 Gellert Blvd, Daly City, CA 94015, USA","https://www.seapotusa.com/daly-city-ca",4.2,530,2,"OPERATIONAL",linked
"Tselogs","filipino_restaurant","6860 Mission St, Daly City, CA 94014, USA","http://www.tselogs.com/home.html",4.5,529,1,"OPERATIONAL",linked
"Hula Hoops Restaurant & Tiki Bar","restaurant","2278 Westborough Blvd # 203, South San Francisco, CA 94080, USA","https://www.myhulahoops.com/",4.5,528,2,"OPERATIONAL",linked
"Tomo Sushi & Teriyaki","japanese_restaurant","1901 Junipero Serra Blvd # G, Daly City, CA 94014, USA","https://tomosushiteriyaki.shop/",4.4,525,2,"OPERATIONAL",
"Keith’s Chicken N Waffles","chicken_restaurant","270 San Pedro Rd, Daly City, CA 94014, USA","https://keithschickennwaffles.com/?utm_source=google",4.5,504,2,"OPERATIONAL",
"Blue Line Pizza","pizza_restaurant","511 Westlake Center, Daly City, CA 94015, USA","http://www.bluelinepizza.com/",4.3,480,2,"OPERATIONAL",linked
"Simmer Huang / Miao Grill","chinese_restaurant","148 Serramonte Center, Daly City, CA 94015, USA","https://www.simmerhuangmiaogrill.com/",4.6,474,2,"OPERATIONAL",
"El Zocalo Restaurant","restaurant","1633 El Camino Real, South San Francisco, CA 94080, USA","https://www.facebook.com/pages/El-Zocalo-Restaurant/109674275734558",3.7,451,1,"OPERATIONAL",
"Bonchon South San Francisco","asian_fusion_restaurant","2278 Westborough Blvd Suite 208, South San Francisco, CA 94080, USA","https://restaurants.bonchon.com/locations/ca/south-san-francisco/2278-westborough-blvd-suite-208",4.2,439,2,"OPERATIONAL",
"L&L Hawaiian Barbecue (Daly City)","hawaiian_restaurant","6893 Mission St, Daly City, CA 94014, USA","http://hawaiianbarbecue.com/",4.3,432,1,"OPERATIONAL",
"Pho Huynh Hiep 4 - Kevin's Noodle House","vietnamese_restaurant","188 Skyline Plaza, Daly City, CA 94015, USA","http://kevinnoodlehouse.com/",4.0,413,1,"OPERATIONAL",
"POGU","korean_restaurant","63 Serramonte Center, Daly City, CA 94015, USA","https://www.instagram.com/jagalchi_official/",3.8,411,,"OPERATIONAL",
"Spiral","japanese_restaurant","515 Westlake Center, Daly City, CA 94015, USA","http://spiraljapanesecuisine.com/",3.9,405,2,"OPERATIONAL",
"Porridge King","chinese_restaurant","37 Skyline Plaza, Daly City, CA 94015, USA",,3.6,395,1,"OPERATIONAL",
"Universal Bakery on Geneva","restaurant","2803 Geneva Ave, Daly City, CA 94014, USA","https://www.universal-bakery.com/",4.5,371,,"OPERATIONAL",
"Mr. Pizza Man","pizza_restaurant","321 87th St, Daly City, CA 94015, USA","https://mrpizzamandc.com/?utm_source=google",4.4,366,2,"OPERATIONAL",
"Dae Jang Geum Tofu House","korean_restaurant","235 Southgate Ave, Daly City, CA 94015, USA",,4.3,352,2,"OPERATIONAL",
"Tasty Pot","hot_pot_restaurant","215 Lake Merced Blvd, Daly City, CA 94015, USA","https://www.tastypotdalycity.com/",3.9,344,2,"OPERATIONAL",
"Tokyo Sushi & Bar","japanese_restaurant","2278 Westborough Blvd #201, South San Francisco, CA 94080, USA","https://tokyosushibarssf.com/",4.0,336,2,"OPERATIONAL",linked
"Al Fin Restaurant","restaurant","7398 Mission St, Daly City, CA 94014, USA","http://alfinrestaurant.online/",4.0,335,1,"OPERATIONAL",
"Ming Yuan Restaurant","chinese_restaurant","209 Southgate Ave, Daly City, CA 94015, USA","http://mingyuan.us/",3.9,323,2,"OPERATIONAL",linked
"Fresh Elements","seafood_restaurant","83 Skyline Plaza, Daly City, CA 94015, USA","https://www.freshelements83.com/",3.8,318,3,"OPERATIONAL",linked
