category,reason,name,primary_type,reviews,has_website,website,address
"stub (on site, no HH)","listed; enrich found no HH","Al Fin Restaurant","restaurant",335,yes,"http://alfinrestaurant.online/","7398 Mission St, Daly City, CA 94014, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Andy's Hong Kong Restaurant","chinese_restaurant",285,yes,"https://www.hongkongrestaurantsanfrancisco.com/?utm_source=gmb&utm_medium=website","121 Hickey Blvd, South San Francisco, CA 94080, USA"
"stub (on site, no HH)","listed; enrich found no HH","Banana Island","restaurant",825,yes,"https://www.bananaislandrestaurant.us/","273 Lake Merced Blvd, Daly City, CA 94015, USA"
"stub (on site, no HH)","listed; enrich found no HH","Blue Line Pizza","pizza_restaurant",480,yes,"http://www.bluelinepizza.com/","511 Westlake Center, Daly City, CA 94015, USA"
"stub (on site, no HH)","listed; enrich found no HH","Bolare Trattoria & Pizzeria","italian_restaurant",71,yes,"https://www.bolaretrattoriapizzeria.com/","761 Hickey Blvd, Pacifica, CA 94044, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Bonchon South San Francisco","asian_fusion_restaurant",439,yes,"https://restaurants.bonchon.com/locations/ca/south-san-francisco/2278-westborough-blvd-suite-208","2278 Westborough Blvd Suite 208, South San Francisco, CA 94080, USA"
"stub (on site, no HH)","listed; enrich found no HH","Boulevard Cafe","american_restaurant",2859,yes,"http://theboulevardcafe.com/","2 Poncetta Dr, Daly City, CA 94015, USA"
"filtered (not listed)","no website","Buffalo Kitchen","fusion_restaurant",113,no,,"107 Leland Ave, San Francisco, CA 94134, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Burma Silver Star Restaurant","burmese_restaurant",93,yes,"https://sites.google.com/view/burmasilverstar/","6318 Mission St, Daly City, CA 94014, USA"
"filtered (not listed)","no website","Burnin’ Mouth","restaurant",26,no,,"3 Serramonte Center, Daly City, CA 94015, USA"
"stub (on site, no HH)","listed; enrich found no HH","Cafe Colma","filipino_restaurant",293,yes,"https://www.luckychances.com/dining.aspx","1700 Hillside Blvd, Colma, CA 94014, USA"
"stub (on site, no HH)","listed; enrich found no HH","California Fish Grill","seafood_restaurant",1595,yes,"https://www.cafishgrill.com/","153C Serramonte Center, Daly City, CA 94015, USA"
"filtered (not listed)","no website","Canton Restaurant","chinese_restaurant",299,no,,"250 90th St, Daly City, CA 94015, USA"
"stub (on site, no HH)","listed; enrich found no HH","Carlitos Club","bar",66,no,,"7171 Mission St, Daly City, CA 94014, USA"
"stub (on site, no HH)","listed; enrich found no HH","Celia's","mexican_restaurant",1160,yes,"http://www.celiasrestaurants.com/","379 Gellert Blvd, Daly City, CA 94015, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Chibog","filipino_restaurant",629,yes,"http://www.chibogrestaurant.com/","2055 Gellert Blvd #5, Daly City, CA 94015, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Chick & Jajang","korean_restaurant",168,yes,"http://chicknjajang.com/","243 Westlake Center, Daly City, CA 94015, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Chick N Coop","american_restaurant",215,yes,"http://chick-n-coop.paqe.io/","7370 Mission St, Daly City, CA 94014, USA"
"filtered (not listed)","no alcohol signal (Places gate)","City Kebabs & Gyros","mediterranean_restaurant",1028,yes,"https://citykebabsandgyros.com/","2408 Junipero Serra Blvd A, Daly City, CA 94015, USA"
"filtered (not listed)","no website","Claire's Pastries & Restaurant","filipino_restaurant",25,no,,"6259 Mission St #6255, Daly City, CA 94014, USA"
"filtered (not listed)","no website","Club Maharlika Filipino","filipino_restaurant",57,no,,"7367 Mission St, Daly City, CA 94014, USA"
"stub (on site, no HH)","listed; enrich found no HH","Creative Ideas Cafe","colombian_restaurant",139,yes,"https://creativeideascateringcafe.com/","58 Leland Ave, San Francisco, CA 94134, USA"
"filtered (not listed)","no website","Dae Jang Geum Tofu House","korean_restaurant",352,no,,"235 Southgate Ave, Daly City, CA 94015, USA"
"filtered (not listed)","no website","Daly City Sky Cafe","chinese_restaurant",299,no,,"87 Skyline Plaza, Daly City, CA 94015, USA"
"stub (on site, no HH)","listed; enrich found no HH","Dim Sum King","chinese_restaurant",990,yes,"https://www.dimsumking99.com/","99 Skyline Plaza, Daly City, CA 94015, USA"
"stub (on site, no HH)","listed; enrich found no HH","El Zocalo Restaurant","restaurant",451,yes,"https://www.facebook.com/pages/El-Zocalo-Restaurant/109674275734558","1633 El Camino Real, South San Francisco, CA 94080, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Fil-Am Cuisine","filipino_restaurant",1079,yes,"http://www.filamcuisine.com/#!location/c14xr","66 School St, Daly City, CA 94014, USA"
"stub (on site, no HH)","listed; enrich found no HH","Fresh Elements","seafood_restaurant",318,yes,"https://www.freshelements83.com/","83 Skyline Plaza, Daly City, CA 94015, USA"
"filtered (not listed)","no website","Fung Wah Restaurant","chinese_restaurant",117,no,,"7007 Mission St, Daly City, CA 94014, USA"
"filtered (not listed)","no website","Gateway Kitchen","filipino_restaurant",261,no,,"6165 Mission St, Daly City, CA 94014, USA"
"filtered (not listed)","no website","G & L Bakery & Restaurant","restaurant",83,no,,"198 Leland Ave, San Francisco, CA 94134, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Golden Moon Restaurant","chinese_restaurant",127,yes,"https://www.goldenmooncalifornia.com/","2511 Geneva Ave, Daly City, CA 94014, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Goldilocks Bakeshop and Restaurant","filipino_restaurant",278,yes,"http://www.goldilocks-usa.com/","6222 Mission St, Daly City, CA 94014, USA"
"filtered (not listed)","no alcohol signal (Places gate)","Great Steak","american_restaurant",119,yes,"https://www.thegreatsteak.com/stores/7126?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb","72A Serramonte Center, Daly City, CA 94015, USA"
